# time	patch	min	max
# c0
  1.1   patch_1	1.0	10.0
  1.1   patch_2	2.0	20.0
  1.2   patch_1	1.0	10.0
  1.2   patch_2	2.0	20.0
  1.3   patch_1	1.0	10.0
  1.3   patch_2	2.0	20.0
  1.4   patch_1	1.0	10.0
  1.4   patch_2	2.0	20.0
  1.5   patch_1	1.0	10.0
  1.5   patch_2	2.0	20.0
  1.6   patch_1	1.0	10.0
  1.6   patch_2	2.0	20.0
  1.7   patch_1	1.0	10.0
  1.7   patch_2	2.0	20.0
  1.8   patch_1	1.0	10.0
  1.8   patch_2	2.0	20.0
  1.9   patch_1	1.0	10.0
  1.9   patch_2	2.0	20.0
  2.0   patch_1	1.0	10.0
  2.0   patch_2	2.0	20.0
# c1
  2.1   patch_1	1.1	11.0
  2.1   patch_2	2.1	21.0
  2.2   patch_1	1.1	11.0
  2.2   patch_2	2.1	21.0
  2.3   patch_1	1.1	11.0
  2.3   patch_2	2.1	21.0
  2.4   patch_1	1.1	11.0
  2.4   patch_2	2.1	21.0
  2.5   patch_1	1.1	11.0
  2.5   patch_2	2.1	21.0
  2.6   patch_1	1.1	11.0
  2.6   patch_2	2.1	21.0
  2.7   patch_1	1.1	11.0
  2.7   patch_2	2.1	21.0
  2.8   patch_1	1.1	11.0
  2.8   patch_2	2.1	21.0
  2.9   patch_1	1.1	11.0
  2.9   patch_2	2.1	21.0
  3.0   patch_1	1.1	11.0
  3.0   patch_2	2.1	21.0
# c2
  3.1   patch_1	0.9	9.0
  3.1   patch_2	1.9	19
  3.2   patch_1	0.9	9.0
  3.2   patch_2	1.9	19
  3.3   patch_1	0.9	9.0
  3.3   patch_2	1.9	19
  3.4   patch_1	0.9	9.0
  3.4   patch_2	1.9	19
  3.5   patch_1	0.9	9.0
  3.5   patch_2	1.9	19
  3.6   patch_1	0.9	9.0
  3.6   patch_2	1.9	19
  3.7   patch_1	0.9	9.0
  3.7   patch_2	1.9	19
  3.8   patch_1	0.9	9.0
  3.8   patch_2	1.9	19
  3.9   patch_1	0.9	9.0
  3.9   patch_2	1.9	19
  4.0   patch_1	0.9	9.0
  4.0   patch_2	1.9	19
# c3
  4.1   patch_1	1.1	11.0
  4.1   patch_2	2.1	21.0
  4.2   patch_1	1.1	11.0
  4.2   patch_2	2.1	21.0
  4.3   patch_1	1.1	11.0
  4.3   patch_2	2.1	21.0
  4.4   patch_1	1.1	11.0
  4.4   patch_2	2.1	21.0
  4.5   patch_1	1.1	11.0
  4.5   patch_2	2.1	21.0
  4.6   patch_1	1.1	11.0
  4.6   patch_2	2.1	21.0
  4.7   patch_1	1.1	11.0
  4.7   patch_2	2.1	21.0
  4.8   patch_1	1.1	11.0
  4.8   patch_2	2.1	21.0
  4.9   patch_1	1.1	11.0
  4.9   patch_2	2.1	21.0
  5.0   patch_1	1.1	11.0
  5.0   patch_2	2.1	21.0
# c3
  5.1   patch_1	0.9	9.0
  5.1   patch_2	1.9	19
  5.2   patch_1	0.9	9.0
  5.2   patch_2	1.9	19
  5.3   patch_1	0.9	9.0
  5.3   patch_2	1.9	19
  5.4   patch_1	0.9	9.0
  5.4   patch_2	1.9	19
  5.5   patch_1	0.9	9.0
  5.5   patch_2	1.9	19
  5.6   patch_1	0.9	9.0
  5.6   patch_2	1.9	19
  5.7   patch_1	0.9	9.0
  5.7   patch_2	1.9	19
  5.8   patch_1	0.9	9.0
  5.8   patch_2	1.9	19
  5.9   patch_1	0.9	9.0
  5.9   patch_2	1.9	19
  6.0   patch_1	0.9	9.0
  6.0   patch_2	1.9	19
